,BUSI_PROFITS,NET_INCM,TTL_LIAB,CREDIT_RNK,INTEREST
209,1639003074,-244899830,63746539981,3,1.97
210,6917814081,6645574581,19407012592,5,1.64
211,10715330122,10002748815,9004088563,3,1.3
212,6934955363,1043817332,137167846130,3,2.72
213,-1911376493,-9926818606,18830247819,3,1.89
214,3753265460,3105980494,37570143140,4,1.75
215,9955565576,9400068831,44916648818,5,1.74
216,-1002726911,-5081690413,144395382470,5,3.35
217,4922271513,5130495774,21351493670,4,1.59
218,15180271811,9613575137,97965186828,3,1.94
219,-3367272786,-4912056714,20016038736,4,1.84
220,5061345197,5529615685,54359015518,3,1.71
221,4176072678,4170808699,60042537903,5,1.99
222,1392547179,4826317065,13608795668,5,1.64
223,5012386291,3795016066,9351100411,4,1.54
224,7305641742,6135430823,7293970082,5,1.58
225,264279638,1178220225,1088917695,6,1.75
226,2970986100,4505560494,26289488895,4,1.63
227,-913166144,1759619715,7670061782,4,1.58
228,8215658340,10339275705,39489201224,3,1.48
229,8659690700,7577944663,9254386170,4,1.46
230,-10036019042,-11669922358,21668533068,2,1.87
231,2145844424,2091422161,17279614550,5,1.73
232,2789839984,2738191466,1924910034,4,1.52
233,7490931160,11087063821,43208911803,5,1.68
234,2636060346,1128821700,81965768990,4,2.19
235,5310786589,4749897620,31573196841,6,1.86
236,21321663463,24075785597,67202221685,5,1.53
237,1299131039,-2823471770,21180696071,3,1.69
238,9253142222,8018227290,43592951138,5,1.76
239,-4291895045,-174158032,21477706380,2,1.52
240,1465495013,933152155,28013282254,5,1.84
241,6041345030,5640491375,10730539139,5,1.61
242,1773831840,6907591479,72588504533,5,2.01
243,22069902505,20582381316,94202924986,4,1.69
244,2715663068,2555384619,1202365851,4,1.52
245,5582178228,4762758310,33272494626,5,1.77
246,20087269341,14037071006,111738843574,5,2.12
247,-2082163566,-3972844225,16992306360,3,1.69
248,5004880824,1210623863,11622801338,5,1.72
249,235595909,-424350200,4387807455,5,1.71
250,-1016489960,-1337809839,29922639219,3,1.72
251,16936617780,14378957844,100197325146,4,1.91
252,1162900302,6476919548,7049775529,4,1.47
253,1460881100,6583946865,9150986196,4,1.48
254,7967635492,4965244138,81976507505,5,2.15
255,-2161214871,373153933,19354490557,5,1.79
256,7865052056,1390374102,68372455257,6,2.25
257,11369420376,8035646463,69792797456,5,1.95
258,-425032133,-1050852397,19722469858,7,2.03
259,1254734573,212936876,25257847838,4,1.74
260,-15145522593,-9969398753,13926436403,6,2.15
261,522882779,-1047883038,45988661834,5,2.04
262,2421318878,1323044132,42445510730,3,1.74
263,3886832766,5819445468,6821480813,4,1.48
264,-11550384425,-17533933424,35553556861,4,2.43
265,2012292652,1567309397,43495948960,5,1.94
266,2919986876,4513450103,22380041871,5,1.71
267,5409629097,-7007461554,12676955868,5,1.95
268,8889258857,15229704635,107717035425,4,1.94
269,8626946471,134547013,120930615655,5,2.76
270,16560824364,15837893813,28481657426,5,1.49
271,-16687561299,-16415136844,3790821552,2,1.87
272,12039103671,11234651495,7024913661,6,1.57
273,3071249201,3437041634,8427991903,6,1.74
274,1244207085,77666841,44489706654,6,2.09
275,6228095822,-465985652,131115632890,3,2.71
276,-441680387,-3579556483,22153518791,5,1.92
277,-4560466479,-7296393643,57428337411,3,2.16
278,19588202713,15804253173,13627574973,6,1.51
279,-7333151653,-10602374450,58663296656,3,2.3
280,546190588,-1316665255,8873375337,5,1.76
281,5907530434,4796417345,16171055572,4,1.56
282,-290617580,-9950368911,29292041556,2,1.88
283,691469132,-3836071439,41963133465,5,2.09
284,5190281949,420759975,172914485128,4,3.38
285,12410867064,16180288743,28895606876,4,1.39
286,892433265,-1887627838,14596990462,5,1.82
287,2175230597,1405417038,44441012521,1,1.55
288,2736021308,8802618850,35985733732,3,1.49
